Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV026,CH007-CH008,,,9/1/2017 8:05,9/1/2017 8:09,193.386,342.28,13.91,81,99.5
EV026,CH007-CH008,,,9/1/2017 9:02,9/1/2017 9:11,308.8,363.64,24.091,65,100
EV026,CH007-CH008,,,9/1/2017 10:08,9/1/2017 10:14,327.83,364.82,31.054,57.5,100
EV026,CH007-CH008,,,9/1/2017 11:05,9/1/2017 11:14,321.533,361.06,25.935,62.5,99.5
EV026,CH007-CH008,,,9/1/2017 12:10,9/1/2017 12:19,230.942,360.1,32.01,56.5,100
EV026,CH007-CH008,,,9/1/2017 13:17,9/1/2017 13:21,269.571,345.72,22.278,67.5,100
EV026,CH007-CH008,,,9/1/2017 14:21,9/1/2017 14:26,321.826,349.84,30.021,58.5,100
EV026,CH007-CH008,,,9/1/2017 15:35,9/1/2017 15:40,181.935,337.9,24.621,59.5,98
EV026,CH007-CH008,,,9/1/2017 16:32,9/1/2017 16:46,266.749,339.36,18.808,75,100
EV026,CH007-CH008,,,9/1/2017 17:32,9/1/2017 17:37,234.292,321.48,26.028,62.5,99
EV026,CH007-CH008,,,9/1/2017 18:25,9/1/2017 18:33,258.797,331.88,21.946,68,100
EV026,CH007-CH008,,,9/1/2017 19:17,9/1/2017 19:25,226.071,331.9,15.238,79.5,100
EV026,CH007-CH008,,,9/6/2017 8:32,9/6/2017 8:41,248.194,348.36,27.098,62,99
EV026,CH007-CH008,,,9/14/2017 6:09,9/14/2017 6:16,244.985,343.46,27.937,55.5,91.5
EV026,CH007-CH008,,,9/14/2017 7:03,9/14/2017 7:08,273.88,339.12,24.507,64,98.5
EV026,CH007-CH008,,,9/14/2017 8:08,9/14/2017 8:13,318.528,370.68,27.575,61.5,100
EV026,CH007-CH008,,,9/14/2017 9:07,9/14/2017 9:11,120.812,234.92,24.684,65,100
EV026,CH007-CH008,,,9/14/2017 10:11,9/14/2017 10:16,212.545,345.04,24.657,65,100
EV026,CH007-CH008,,,9/14/2017 11:04,9/14/2017 11:08,324.91,369.52,25.331,63.5,99
EV026,CH007-CH008,,,9/14/2017 12:01,9/14/2017 12:05,240.338,369.98,33.837,55,100
EV026,CH007-CH008,,,9/14/2017 13:00,9/14/2017 13:05,300.152,352.64,23.378,55,86
EV026,CH007-CH008,,,9/14/2017 14:00,9/14/2017 14:06,301.396,334.44,18.047,60.5,86
EV026,CH007-CH008,,,9/14/2017 14:52,9/14/2017 14:58,314.356,364.8,21.604,68,99
EV026,CH007-CH008,,,9/14/2017 16:01,9/14/2017 16:07,266.729,373.84,26.771,62.5,100
EV026,CH007-CH008,,,9/14/2017 16:55,9/14/2017 17:01,294.705,348.06,22.38,67.5,100
EV026,CH007-CH008,,,9/14/2017 18:06,9/14/2017 18:12,272.374,362,17.754,76,100
EV026,CH007-CH008,,,9/14/2017 19:06,9/14/2017 19:12,308.894,364.62,31.56,57.5,100
EV026,CH007-CH008,,,9/14/2017 20:32,9/14/2017 20:40,300.026,360.46,18.988,65,92
EV026,CH007-CH008,,,9/15/2017 6:08,9/15/2017 6:17,296.93,345,33.467,55,98.5
EV026,CH007-CH008,,,9/15/2017 7:04,9/15/2017 7:09,286.766,349.5,21.614,56,84.5
EV026,CH007-CH008,,,9/15/2017 8:02,9/15/2017 8:06,309.419,344.68,20.93,72,100
EV026,CH007-CH008,,,9/15/2017 9:03,9/15/2017 9:07,318.5,349.7,32.424,56.5,100
EV026,CH007-CH008,,,9/15/2017 9:58,9/15/2017 10:02,127.311,331.32,18.614,71.5,95.5
EV026,CH007-CH008,,,9/15/2017 10:46,9/15/2017 10:51,281.412,344.32,29.827,58.5,98.5
EV026,CH007-CH008,,,9/15/2017 11:56,9/15/2017 12:01,322.484,353.32,21.176,64.5,94
EV026,CH007-CH008,,,9/15/2017 13:04,9/15/2017 13:10,307.717,362.36,23.047,66.5,99
EV026,CH007-CH008,,,9/15/2017 15:16,9/15/2017 15:21,290.249,372.24,22.92,67,100
EV026,CH007-CH008,,,9/15/2017 16:17,9/15/2017 16:22,198.344,338.34,19.343,74.5,100
EV026,CH007-CH008,,,9/15/2017 17:15,9/15/2017 17:19,335.45,371.18,24.309,65.5,100
EV026,CH007-CH008,,,9/15/2017 17:48,9/15/2017 17:56,320.961,363.46,21.183,72,100
EV026,CH007-CH008,,,9/18/2017 6:06,9/18/2017 6:14,252.075,354.86,34.818,53.5,100
EV026,CH007-CH008,,,9/18/2017 7:04,9/18/2017 7:09,310.558,365.62,25.307,64,100
EV026,CH007-CH008,,,9/18/2017 7:58,9/18/2017 8:02,244.01,335.22,27.92,57,98
EV026,CH007-CH008,,,9/18/2017 8:57,9/18/2017 9:03,272.11,364.44,23.525,58.5,91
EV026,CH007-CH008,,,9/18/2017 10:04,9/18/2017 10:09,316.275,365.66,25.791,63,100
EV026,CH007-CH008,,,9/18/2017 10:56,9/18/2017 11:02,319.31,350.24,29.54,56.5,95.5
EV026,CH007-CH008,,,9/18/2017 11:56,9/18/2017 12:01,311.686,354.04,22.772,66.5,99
EV026,CH007-CH008,,,9/18/2017 12:47,9/18/2017 12:53,322.868,366.08,26.937,62.5,100
EV026,CH007-CH008,,,9/18/2017 13:53,9/18/2017 13:58,328.097,353.62,35.131,52.5,99.5
EV026,CH007-CH008,,,9/18/2017 14:56,9/18/2017 15:03,297.642,347.72,7.928,60.5,73
EV026,CH007-CH008,,,9/18/2017 15:56,9/18/2017 16:02,297.739,352.1,20.077,73,100
EV026,CH007-CH008,,,9/18/2017 16:54,9/18/2017 17:01,298.113,357.28,23.886,66,100
EV026,CH007-CH008,,,9/18/2017 19:54,9/18/2017 21:03,294.789,341.04,18.186,76,100
EV026,CH007-CH008,,,9/19/2017 15:33,9/19/2017 15:44,311.674,372.46,30.3,57,97.5
EV026,CH007-CH008,,,9/20/2017 6:08,9/20/2017 6:16,287.932,356.38,28.239,58.5,97
EV026,CH007-CH008,,,9/20/2017 7:01,9/20/2017 7:06,256.535,346.86,25.362,64,100
EV026,CH007-CH008,,,9/20/2017 7:56,9/20/2017 8:01,255.798,370.28,25.998,63,99.5
EV026,CH007-CH008,,,9/20/2017 8:55,9/20/2017 9:00,223.379,353.24,32.316,56.5,100
EV026,CH007-CH008,,,9/20/2017 10:52,9/20/2017 11:01,300.97,357.92,16.289,71.5,96.5
EV026,CH007-CH008,,,9/20/2017 11:56,9/20/2017 12:03,295.214,360.46,26.564,62.5,100
EV026,CH007-CH008,,,9/20/2017 13:01,9/20/2017 13:07,23.561,134.9,32.611,55.5,98.5
EV026,CH007-CH008,,,9/20/2017 14:26,9/20/2017 14:33,163.319,266.78,14.461,63.5,84
EV026,CH007-CH008,,,9/20/2017 15:34,9/20/2017 15:39,331.512,371.6,22.945,67,100
EV026,CH007-CH008,,,9/22/2017 6:07,9/22/2017 6:16,280.039,372.64,19.561,74,100
EV026,CH007-CH008,,,9/22/2017 7:01,9/22/2017 7:05,298.612,354.48,20.025,73.5,100
EV026,CH007-CH008,,,9/22/2017 7:54,9/22/2017 7:59,341.789,377.24,21.453,72,100
EV026,CH007-CH008,,,9/22/2017 8:57,9/22/2017 9:02,148.489,260.7,36.364,51,99.5
EV026,CH007-CH008,,,9/22/2017 9:53,9/22/2017 9:57,23.074,43.14,28.261,57,100
EV026,CH007-CH008,,,9/22/2017 10:55,9/22/2017 10:59,310.723,349.04,25.543,62.5,97.5
